Character,Number Of Black Pixels
"‌",0
"ं",61
"़",61
"ં",75
"่",85
".",90
"্",100
"ે",100
"்",105
"ุ",106
"়",108
"્",108
"́",110
"’",127
"्",142
"，",145
"،",152
",",152
"ُ",153
"े",153
"്",160
"、",190
"ಿ",191
"'",193
"۔",205
"ู",224
"้",228
"ু",229
"-",234
"ू",245
"ು",250
"ु",256
"ै",256
"ั",263
"್",272
"י",275
"ુ",278
"ം",286
"ૂ",291
"ೆ",312
"ิ",320
"ి",342
"。",344
"็",347
"ಾ",368
"ಂ",369
"ડ",385
"ೀ",391
"ี",395
"।",400
"ు",401
"া",410
"ા",414
"ื",415
"ι",416
"ı",416
"ึ",420
"ং",424
"ಳ",424
"ہ",434
"ર",437
"ீ",447
"ி",449
"ാ",454
"ו",457
"ಎ",461
"ೌ",465
"ಇ",466
"د",473
"ా",486
"เ",489
"ി",490
"ક",493
"દ",493
"ಏ",493
"i",496
"і",496
"ί",501
"ു",507
"ಲ",509
"ೇ",511
"ে",514
"ટ",514
"ો",515
"റ",516
"ಬ",518
"ז",524
"ీ",525
"í",527
"ì",527
"ะ",536
"ذ",545
"ر",547
"r",548
"г",563
"ா",565
"ட",570
"ೂ",575
"ا",576
"l",576
"ị",576
"I",576
"ї",576
"ಟ",576
"ு",579
"હ",583
"ר",584
"ె",588
"ಣ",588
"ഠ",590
"ן",597
"τ",598
"ा",598
"ദ",601
"า",606
"一",608
"ڈ",611
"ಜ",611
"ز",619
"î",620
"ি",621
"ొ",623
"ī",626
"ನ",626
"נ",630
"ષ",632
"ಗ",636
"ர",637
"વ",637
"»",638
"ಸ",639
"t",640
"«",643
"т",647
"ł",648
"ગ",651
"ട",653
"آ",654
"ג",661
"ય",661
"ત",661
"ര",661
"إ",663
"أ",663
"र",666
"ఒ",669
"ļ",670
"ว",679
"ಅ",679
"ી",680
"గ",685
"ం",686
"j",687
"ڑ",687
"ј",687
"ન",688
"േ",689
"ఎ",690
"ತ",698
"ರ",699
"ী",702
"પ",703
"ד",706
"ச",717
"ں",722
"ך",724
"《",724
"》",724
"ഗ",727
"ల",730
"న",730
"ಶ",731
"ง",732
"v",733
"వ",733
"ν",733
"ำ",734
"ε",736
"ー",738
"ే",749
"ب",750
"ř",750
"ه",751
"ూ",752
"િ",752
"ಕ",754
"ప",757
"ť",760
"െ",761
"ಉ",767
"చ",768
"్",768
"f",769
"ت",771
"ర",772
"ľ",777
"ร",777
"ದ",777
"ో",780
"Î",780
"ो",781
"ப",784
"ઈ",793
"ವ",793
"ن",794
"ч",794
"മ",795
"c",800
"с",800
"స",801
"శ",801
"ઉ",807
"ל",808
"כ",809
"క",810
"ಪ",814
"پ",820
"ث",820
"έ",821
"ಡ",824
"ٹ",825
"ה",825
"બ",826
"з",827
"బ",832
"к",833
"ة",835
"ट",835
"ચ",839
"ণ",841
"ఇ",845
"લ",848
"ന",848
"उ",850
"ौ",854
"গ",855
"ไ",863
"ठ",874
"x",878
"х",878
"ς",879
"డ",881
"ോ",881
"υ",883
"ಷ",883
"ద",885
"প",886
"ೊ",888
"ൊ",889
"ખ",891
"ಹ",895
"ம",901
"γ",903
"א",904
"പ",906
"க",907
"ఏ",908
"ć",911
"ష",913
"സ",914
"ಫ",914
"κ",919
"எ",920
"ట",920
"ь",921
"સ",921
"z",922
"ע",922
"ন",923
"ഹ",923
"ے",924
"అ",924
"э",926
"ח",926
"ഡ",926
"є",930
"ಥ",930
"प",937
"ఉ",938
"u",939
"ी",940
"y",942
"у",942
"م",943
"n",944
"इ",944
"λ",946
"શ",947
"চ",949
"જ",952
"s",953
"ก",953
"দ",954
"મ",955
"ט",958
"จ",959
"L",963
"ב",963
"છ",963
"ച",964
"വ",966
"โ",967
"ύ",969
"o",974
"о",974
"শ",974
"ο",974
"แ",974
"ஏ",980
"ç",983
"द",983
"ಯ",987
"ക",988
"Y",993
"צ",997
"п",1000
"ధ",1000
"č",1002
"ż",1002
"ใ",1006
"н",1007
"খ",1008
"ణ",1008
"ح",1010
"ภ",1010
"உ",1011
"ए",1012
"ব",1013
"ड",1015
"এ",1016
"त",1018
"ụ",1019
"থ",1019
"త",1022
"イ",1022
"く",1024
"য",1027
"ড",1027
"ζ",1028
"ശ",1030
"ও",1031
"ъ",1032
"ת",1035
"श",1039
"ത",1039
"ಮ",1039
"ถ",1041
"ş",1043
"ú",1050
"ك",1051
"ξ",1051
"ý",1053
"ম",1053
"ק",1053
"ů",1053
"ń",1054
"ষ",1055
"ل",1056
"ि",1056
"અ",1056
"ό",1059
"べ",1061
"T",1062
"न",1062
"ś",1063
"บ",1067
"স",1069
"ج",1073
"פ",1074
"హ",1075
"л",1077
"ग",1078
"ย",1079
"ธ",1079
"人",1081
"خ",1082
"つ",1082
"ư",1083
"ม",1083
"थ",1084
"ล",1084
"し",1084
"ò",1084
"ó",1085
"σ",1085
"อ",1086
"ų",1086
"У",1088
"น",1089
"V",1092
"థ",1092
"य",1092
"ủ",1093
"ো",1093
"و",1096
"ல",1096
"ü",1099
"α",1099
"k",1100
"מ",1100
"अ",1100
"χ",1102
"ല",1103
"я",1106
"η",1106
"ห",1107
"ค",1110
"ی",1111
"ى",1111
"হ",1111
"ह",1113
"ந",1114
"ய",1115
"ष",1115
"h",1116
"ס",1118
"র",1121
"e",1122
"е",1122
"ũ",1122
"ท",1122
"ഉ",1122
"ž",1123
"и",1125
"a",1126
"а",1126
"ણ",1128
"য়",1131
"യ",1132
"μ",1133
"ഷ",1133
"ö",1134
"了",1134
"ള",1134
"ध",1135
"ต",1136
"ū",1142
"چ",1143
"మ",1143
"ด",1143
"ঠ",1144
"ছ",1145
"व",1149
"こ",1150
"š",1155
"એ",1155
"õ",1156
"ണ",1156
"ű",1160
"ک",1161
"ự",1163
"ত",1164
"ल",1165
"π",1168
"ল",1169
"リ",1170
"ब",1172
"ô",1176
"ع",1178
"ผ",1181
"ц",1182
"क",1183
"ؤ",1186
"ά",1186
"ส",1186
"ங",1190
"ή",1192
"q",1194
"ي",1195
"ഖ",1196
"ő",1196
"ρ",1198
"ئ",1199
"ם",1200
"ė",1202
"d",1204
"ạ",1206
"ớ",1207
"ভ",1209
"த",1210
"p",1212
"р",1212
"ற",1214
"b",1216
"ご",1219
"भ",1222
"シ",1225
"в",1227
"ћ",1230
"म",1231
"स",1231
"è",1232
"ण",1232
"é",1233
"F",1233
"à",1236
"á",1237
"ử",1237
"ள",1238
"å",1240
"ש",1247
"উ",1249
"ở",1250
"گ",1252
"ெ",1252
"ങ",1253
"জ",1254
"ộ",1256
"ট",1256
"ω",1256
"ป",1256
"て",1257
"ж",1258
"வ",1260
"എ",1264
"ữ",1265
"ð",1268
"ข",1271
"C",1272
"ఈ",1272
"С",1272
"ą",1275
"ழ",1275
"ช",1279
"ज",1281
"ả",1282
"い",1285
"ä",1286
"ă",1287
"ę",1289
"س",1296
"ഏ",1298
"ษ",1304
"അ",1306
"й",1317
"ê",1322
"ď",1325
"ě",1325
"り",1326
"â",1328
"ā",1329
"ಈ",1330
"च",1331
"ই",1332
"ē",1332
"ы",1337
"ळ",1338
"w",1340
"ώ",1342
"ே",1346
"ঝ",1348
"К",1349
"ொ",1351
"ص",1354
"と",1356
"đ",1358
"ỗ",1359
"య",1362
"니",1364
"พ",1367
"м",1368
"δ",1368
"ഞ",1370
"ß",1372
"þ",1379
"ক",1380
"д",1387
"プ",1398
"ằ",1401
"ắ",1401
"ệ",1407
"ậ",1408
"g",1410
"A",1410
"Α",1410
"б",1411
"छ",1411
"う",1417
"m",1419
"ش",1422
"기",1426
"で",1433
"U",1435
"ю",1435
